"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Analysis of the global trade network of the chip industry chain: Does the US-China tech war matter?","Zhang, Yongli; Zhu, Xianduo","","","","HELIYON","JUN 2023","2023","9","6","","","","","","e17092","10.1016/j.heliyon.2023.e17092","","","7","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4"
"Are US exports influenced by stronger IPR protection measures in recipient markets?","Fukui, E. Tani; Hammer, Alexander B.; Jones, Lin Z.","","","","BUSINESS HORIZONS","MAR-APR 2013","2013","56","2","","","SI","179","188","","10.1016/j.bushor.2012.11.009","","","4","0.31","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0"
"The Effect of the Regional Comprehensive Economic Partnership on Taiwan's Global Value Chain of the Electronic Information Industry","Liu, Cheyuan; Zhou, Jianrui; Wen, Wen; Liu, Fangzhou; Ji, Liuyin; Zhang, Chunyu","","","","SUSTAINABILITY","JAN 2025","2025","17","1","","","","","","281","10.3390/su17010281","","","1","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Mexico, Brazil and Chile: potential links with China and South Korea","Fung, K. C.; Hwang, Hsiang-Chih; Seade, Jesus; Tung, Rocky","","","","JOURNAL OF CHINESE ECONOMIC AND FOREIGN TRADE STUDIES","2016","2016","9","3","","","SI","190","212","","10.1108/JCEFTS-10-2016-033","","","1","0.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Modern challenges facing electric vehicle adoption: a review of barriers to adoption, supply chain challenges, and equity","Alshahapy, Hala; Bozeman III, Joe F.; Carley, Sanya; Nock, Destenie; Matisoff, Daniel","","","","ENVIRONMENTAL RESEARCH LETTERS","FEB 1 2025","2025","20","2","","","","","","023002","10.1088/1748-9326/ada6de","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Interconnected Horizons: ASEAN's Journey in the Global Semiconductor Trade Network Amidst the COVID-19 Pandemic and Supply Chain Realignments","Prabheesh, K. P.; Vidya, C. T.","","","","EMERGING MARKETS FINANCE AND TRADE","","2025","","","","","","","","","10.1080/1540496X.2024.2446387","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Semiconductor production, geopolitics and the CHIP SACT of 2022: a theoretical analysis","Hyatt, Katherine; Ryle, Patrick M.; McKnight, Mark A.","","","","DIGITAL POLICY REGULATION AND GOVERNANCE","JAN 2 2025","2025","27","1","","","","1","16","","10.1108/DPRG-12-2023-0184","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The geopolitics of supply chains: EU efforts to ensure security of supply","Glencross, Andrew","","","","GLOBAL POLICY","SEP 2024","2024","15","4","","","","729","739","","10.1111/1758-5899.13388","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Friendshoring and Reshoring Semiconductor Supply Chains: US CHIPS Act and the Multilateral Trading System","Gupta, Manya; Sharma, Arnav","","","","GLOBAL TRADE AND CUSTOMS JOURNAL","MAR 2024","2024","19","3","","","","1","12","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The economic role of industrial equipment sector in the Korean national economy","Lee, Jieun; Kim, Heetae; Kwak, Kiho","","","","APPLIED ECONOMICS","MAR 22 2025","2025","57","14","","","","1579","1595","","10.1080/00036846.2024.2314557","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
